rusher_nflId,rusher_name,rusher_pos,n_frames,n_plays,median_etbc,mean_etbc,min_etbc,pct_under_2sec,pct_under_1sec
52566,Bryce Hall,CB,137,5,1.8718104514669327,3.928423288054754,0,0.5109489051094891,0.31386861313868614
53612,Avery Williams,RB,145,5,1.9952884453855686,2.755819682912218,0.4033484673807936,0.503448275862069,0.11724137931034483
52624,Kamren Curl,FS,115,5,2.2621592927006478,3.217061479466942,0.4131533998717063,0.4,0.10434782608695652
52863,Krys Barnes,ILB,124,5,2.2766035880672693,3.376101215044109,0,0.3951612903225806,0.20161290322580644
46127,Isaiah Oliver,CB,261,11,2.2974169484929226,3.438405773929057,0.33790717488597727,0.421455938697318,0.12260536398467432
47892,Khari Willis,SS,251,9,2.3059639357227657,3.3274025888817396,0,0.4063745019920319,0.19123505976095617
43407,Juston Burris,SS,120,5,2.3094226497118435,3.76438616650805,0.35594457926670303,0.45,0.125
43393,Tavon Young,CB,306,12,2.346377730999536,3.411007742135008,0,0.4117647058823529,0.20915032679738563
42929,Alex Singleton,OLB,99,5,2.379893984618091,3.9014009786820414,0.5750919637308428,0.40404040404040403,0.09090909090909091
47915,Ugochukwu Amadi,FS,120,5,2.4541964522624915,3.54752903612032,0.5338942973368583,0.3333333333333333,0.05
43294,Jalen Ramsey,CB,247,10,2.481049161557748,3.7274048904151162,0.3090943257819799,0.3805668016194332,0.10931174089068826
47913,Drue Tranquill,ILB,280,11,2.4966146262343116,3.359081003591806,0,0.39285714285714285,0.19285714285714287
52453,Antoine Winfield,FS,258,11,2.5199850110177366,3.7143415616411213,0,0.3992248062015504,0.13178294573643412
53596,Nate Hobbs,CB,133,5,2.5276595132223645,3.2462772173135743,0.39946805635278276,0.40601503759398494,0.12781954887218044
42485,Adrian Amos,FS,156,6,2.528861690475988,3.558989128860424,0,0.38461538461538464,0.057692307692307696
48508,Andrew Wingard,FS,148,7,2.5626404113151438,3.4485832505729417,0,0.3310810810810811,0.13513513513513514
44818,Jamal Adams,SS,746,30,2.580823708572476,3.6915448500542896,0,0.3445040214477212,0.0938337801608579
47971,David Long,ILB,833,35,2.598633609211844,3.910914606652857,0,0.3625450180072029,0.07683073229291716
43641,Mike Hilton,CB,542,23,2.626045067771099,3.6043665712684354,0,0.3007380073800738,0.09040590405904059
40688,A.J. Bouye,CB,129,6,2.656730993854732,3.7473037446697073,0.4616206477084923,0.34108527131782945,0.10852713178294573
46123,Jessie Bates,FS,116,6,2.6622414369868155,3.8941688552108915,0.35369764743345394,0.3275862068965517,0.11206896551724138
53529,Elijah Molden,CB,297,13,2.674601696879675,3.6334614289719296,0.4221543070658807,0.367003367003367,0.08080808080808081
53609,Talanoa Hufanga,SS,151,6,2.6805161323568805,4.3297901071578275,0.5168381004583358,0.3576158940397351,0.06622516556291391
41256,Jimmie Ward,FS,164,7,2.681618523334775,4.023609840847921,0.8083292367554593,0.3170731707317073,0.04878048780487805
45287,Kenny Moore,CB,402,16,2.7023243059047735,3.754025012480847,0.4715070385958421,0.35572139303482586,0.05223880597014925
44926,Rayshawn Jenkins,SS,276,12,2.7321295974281306,4.0768197638363866,0.2954375353779205,0.3333333333333333,0.021739130434782608
47888,Chauncey Gardner-Johnson,SS,433,16,2.799465951489319,3.9562380706080544,0,0.3325635103926097,0.10161662817551963
40017,Tyrann Mathieu,SS,330,15,2.8620823716270234,3.653048234763742,0,0.2636363636363636,0.08787878787878788
40031,Logan Ryan,FS,392,14,2.868580961449771,3.883351378611523,0,0.3903061224489796,0.1377551020408163
46175,Josey Jewell,ILB,113,5,2.8793782056097412,3.5435923661508157,0,0.3185840707964602,0.10619469026548672
45215,Eric Wilson,OLB,141,6,2.8846343628780833,3.646942153999356,0.47808185528376707,0.3475177304964539,0.0851063829787234
44976,Matt Milano,OLB,703,29,2.9086755031079465,4.200036322165424,0,0.2958748221906117,0.09815078236130868
48476,Nik Needham,CB,285,9,2.9344400670583513,4.307374057640553,0.4457230037278527,0.3157894736842105,0.03859649122807018
48780,Troy Reeder,ILB,409,17,2.945602663511721,4.409336038794557,0,0.293398533007335,0.05623471882640587
46672,Tavierre Thomas,CB,163,6,2.94643340290647,4.116985497174283,0.8927311357010612,0.2085889570552147,0.018404907975460124
46151,Tracy Walker,FS,218,8,2.952463913833692,3.5681275507487236,0,0.2798165137614679,0.1559633027522936
41502,Daniel Sorensen,FS,512,21,2.965088487944037,4.039203493119965,0,0.298828125,0.126953125
52471,Willie Gay,OLB,191,11,2.9813278856911913,4.331609319401504,0.6352446800591054,0.2879581151832461,0.041884816753926704
44837,Jabrill Peppers,SS,527,20,2.9968187440336953,4.265385761761199,0,0.301707779886148,0.11385199240986717
53957,A.J. Parker,CB,289,12,2.9986784228978305,4.1635748363346075,0,0.3079584775086505,0.08996539792387544
43341,Deion Jones,ILB,729,30,3.0326290591032885,4.267184215657202,0,0.32373113854595337,0.10425240054869685
53583,Michael Carter,CB,383,15,3.043229248546155,3.9627387455338563,0,0.33159268929503916,0.10966057441253264
53465,Jevon Holland,FS,357,14,3.049355663225474,4.122760891587055,0,0.3557422969187675,0.12885154061624648
52435,Jordyn Brooks,OLB,477,21,3.0517574697210255,4.096611818090788,0,0.27044025157232704,0.09014675052410902
52546,L'Jarius Sneed,CB,580,24,3.074968712179831,4.26325995421498,0,0.3120689655172414,0.11896551724137931
46190,Taron Johnson,CB,137,6,3.113005294288164,4.325040531653334,0,0.22627737226277372,0.08029197080291971
53532,Ernest Jones,ILB,265,10,3.126891611754801,3.773574492182779,0,0.27547169811320754,0.13584905660377358
46221,Dane Cruikshank,SS,125,5,3.1304427378358035,4.38816077312266,0.768621202771097,0.36,0.056
47793,Devin Bush,ILB,299,13,3.139654463396236,3.9533609556910454,0,0.34448160535117056,0.17391304347826086
48364,Del'Shawn Phillips,OLB,78,5,3.14061150550455,4.076852789380464,0,0.3974358974358974,0.2692307692307692
